lemma	freq	stratum	donors	sources	verdict	note
dzsungel	4252	modern	English|German	borrowed		
csokoládé	4240	modern	German|Italian	borrowed		
csónak	4224	ancient	Slavic languages	borrowed		
kór	4218	ancient	West Slavic languages	borrowed		
cenzúra	4210	modern	Latin	borrowed		
dóm	4207	modern	French|German	borrowed		
láma	4193	modern	German	borrowed		
kondíció	4189	modern	Late Latin	borrowed		
sztrájk	4180	modern	English	borrowed		
komfort	4179	modern	English	borrowed		
flóra	4172	modern	Latin	borrowed		
korrekció	4158	modern	Latin	borrowed		
cikkely	4155	modern	Bavarian|German	borrowed		
modernizáció	4155	modern	English	borrowed		
babona	4151	ancient	Slovak	borrowed		
demonstráció	4123	modern	Latin	borrowed		
komment	4112	modern	English	borrowed		
diplomata	4105	modern	German	borrowed		
tyúk	4094	ancient	Turkic languages	borrowed		
aukció	4091	modern	German	borrowed		
csekk	4086	modern	English	borrowed		
bab	4082	ancient	Slavic languages	borrowed		
tréfa	4067	modern	Italian	borrowed		
káposzta	4060	ancient	Slovak|Slovene	borrowed		
folklór	4059	modern	English	borrowed		
jé	4050	modern	German	borrowed		
individuális	4029	modern	New Latin	borrowed		
poszt	4015	modern	German	borrowed		
irracionális	3981	modern	Latin	borrowed		
kultusz	3981	modern	German	borrowed		
sár	3947	unclassified	Oghur languages	borrowed		
kongregáció	3945	modern	Latin	borrowed		
aréna	3942	modern	Latin	borrowed		
kasza	3915	ancient	Slavic languages	borrowed		
aba	3907	unclassified	Ottoman Turkish	borrowed		
cseresznye	3891	ancient	Slavic languages	borrowed		
szelekció	3873	modern	Latin	borrowed		
finálé	3855	modern	German	borrowed		
tao	3854	unclassified	Mandarin	borrowed		
birka	3846	unclassified	Czech	borrowed		
pizza	3826	modern	Italian	borrowed		
potenciál	3808	modern	German	borrowed		
etikus	3782	modern	German	borrowed		
passzol	3771	modern	German	borrowed		
árpa	3750	ancient	Turkic languages	borrowed		
adaptáció	3730	modern	Latin	borrowed		
gyűlik	3721	ancient	Turkic languages	borrowed		
parlamentáris	3715	modern	German	borrowed		
rubin	3710	modern	German	borrowed		
széna	3708	ancient	Slavic languages	borrowed		
sing	3696	modern	German	borrowed		
obszidián	3650	modern	German	borrowed		
placebo	3650	modern	Latin	borrowed|learned		
szalonna	3603	ancient	South Slavic languages|West Slavic languages	borrowed		
deszka	3597	ancient	Slavic languages	borrowed		
eklektikus	3594	modern	German	borrowed		
szimuláció	3594	modern	Latin	borrowed		
táska	3578	modern	Italian	borrowed		
baseball	3576	modern	English	borrowed		
pólus	3556	modern	Latin	borrowed		
sí	3541	modern	German|Norwegian	borrowed		
kompatibilitás	3532	modern	English	borrowed		
pipa	3525	modern	Italian	borrowed		
flex	3509	modern	English|German	borrowed		
veréb	3484	modern	Russian|Slavic languages	borrowed		
szappan	3463	modern	Italian	borrowed		
portré	3457	modern	German	borrowed		
problematikus	3454	modern	German	borrowed		
szentel	3453	ancient	Slavic languages	borrowed		
kalkuláció	3445	modern	English	borrowed		
kemence	3445	ancient	Slavic languages	borrowed		
kandalló	3442	modern	Italian	borrowed		
saláta	3436	modern	Italian	borrowed		
bűz	3426	ancient	Iranian languages	borrowed		
komputer	3417	modern	English	borrowed		
sváb	3417	modern	German	borrowed		
prezentáció	3409	modern	Late Latin	borrowed		
mentalitás	3408	modern	French	borrowed		
bürokratikus	3407	modern	German	borrowed		
prognózis	3399	modern	Latin	borrowed		
cowboy	3398	modern	English	borrowed		
asztma	3369	modern	Latin	borrowed		
körte	3331	ancient	Turkic languages	borrowed		
taxis	3326	modern	Latin	borrowed		
cement	3324	modern	German	borrowed		
paletta	3317	modern	French|German	borrowed		
talp	3316	unclassified	East Germanic languages|substrate languages	borrowed		
recesszió	3312	modern	Latin	borrowed		
gyapjú	3309	ancient	Turkic languages	borrowed		
flexibilis	3304	modern	Latin	borrowed		
süti	3299	modern	English	semantic		
szemeszter	3269	modern	German	borrowed		
tinta	3264	modern	Latin	borrowed		
kálvária	3262	modern	Latin	borrowed		
cser	3258	ancient	South Slavic languages	borrowed		
prevenció	3248	modern	Late Latin	borrowed		
pingvin	3245	modern	German	borrowed		
főnix	3240	modern	Ancient Greek|Latin	borrowed		
publikáció	3238	modern	German	borrowed		
mák	3220	ancient	Slavic languages	borrowed		
katalizátor	3214	modern	German	borrowed		
esperes	3209	modern	German|Romance languages	borrowed		
kollekció	3209	modern	Late Latin	borrowed		
prioritás	3197	modern	Latin	borrowed		
páva	3197	modern	Latin	borrowed		
recepció	3192	modern	Latin	borrowed		
ceruza	3188	modern	Latin	borrowed		
koordináció	3188	modern	Latin	borrowed		
zsákmány	3188	modern	German	borrowed		
tőr	3186	ancient	Turkic languages	borrowed		
buja	3182	ancient	Slavic languages	borrowed		
hurok	3177	ancient	Turkic languages	borrowed		
diskurzus	3175	modern	Latin	borrowed		
operett	3168	modern	French	borrowed		
szleng	3158	modern	English	borrowed		
parancsol	3150	ancient	Slavic languages	borrowed		
kolbász	3145	ancient	Macedonian|Slavic languages	borrowed		
ciklikus	3144	modern	Latin	borrowed		
morál	3138	modern	German	borrowed		
precedens	3117	modern	Medieval Latin	borrowed		
érdem	3117	ancient	Turkic languages	borrowed		
história	3113	modern	Latin	borrowed		
csizmadia	3112	ancient	Serbo-Croatian	borrowed		
pajtás	3109	unclassified	Ottoman Turkish	borrowed		
föderáció	3104	modern	German	borrowed		
szlogen	3091	modern	English	borrowed		
inzulin	3088	modern	English	borrowed		
csárda	3074	unclassified	Ottoman Turkish	borrowed		
reguláris	3074	modern	Late Latin	borrowed		
frontális	3060	modern	English|French|German	borrowed		
galád	3053	modern	Latin	borrowed		
páncél	3049	modern	German	borrowed		
lottó	3044	modern	Italian	borrowed		
karnevál	3042	modern	German	borrowed		
gang	3039	modern	German	borrowed		
pecsét	3023	ancient	Slavic languages|South Slavic languages	borrowed		
invázió	3015	modern	Latin	borrowed		
smink	3002	modern	German	borrowed		
ökör	3001	unclassified	Oghur languages	borrowed		
uborka	2993	ancient	Slovak	borrowed		
csúf	2985	modern	Italian	borrowed		
ceremónia	2980	modern	Latin	borrowed		
arisztokrata	2979	modern	German	borrowed		
menstruáció	2974	modern	Latin	borrowed		
izraelita	2964	modern	Latin	borrowed		
mandula	2952	modern	Italian	borrowed		
illusztráció	2950	modern	English	borrowed		
nárcisz	2943	modern	German	borrowed		
szkenner	2933	modern	English	borrowed		
navigáció	2924	modern	English	borrowed		
aszimmetrikus	2920	modern	German	borrowed		
kozák	2918	unclassified	Ukrainian	borrowed		
göndör	2909	ancient	South Slavic languages	borrowed		
pikk	2908	modern	German	borrowed		
migrén	2904	modern	German	borrowed		
rizikó	2904	modern	German	borrowed		
trón	2904	modern	German	borrowed		
szoknya	2903	ancient	Slavic languages	borrowed		
gráf	2899	modern	English	borrowed		
pszichoanalitikus	2899	modern	German	borrowed		
incidens	2898	modern	German	borrowed		
patika	2886	modern	Latin	borrowed		
mázsa	2879	modern	Italian	borrowed		
favorit	2877	modern	German	borrowed		
metafora	2872	modern	Latin	borrowed		
bicikli	2868	modern	German	borrowed		
konvencionális	2868	modern	German	borrowed		
transzformáció	2868	modern	English|German	borrowed		
traktor	2867	modern	German	borrowed		
varázsol	2865	ancient	Slovak|South Slavic languages	borrowed		
szimpátia	2864	modern	Latin	borrowed		
cserép	2860	ancient	South Slavic languages	borrowed		
pasa	2859	unclassified	Ottoman Turkish	borrowed		
casco	2854	modern	English|Spanish	borrowed		
szisztéma	2841	modern	Latin	borrowed		
ritmikus	2833	modern	Latin	borrowed		
szalma	2825	ancient	Slavic languages	borrowed		
vaku	2812	modern	German	borrowed		
kooperáció	2796	modern	Late Latin	borrowed		
farsang	2793	modern	German	borrowed		
keksz	2786	modern	German	borrowed		
kurta	2776	modern	Latin	borrowed		
státus	2771	modern	Latin	borrowed		
mocsár	2767	ancient	Slovak|South Slavic languages	borrowed		
málna	2765	ancient	Slavic languages	borrowed		
zsiráf	2760	unclassified	Austrian German	borrowed		
politológus	2746	modern	German	borrowed		
kuplung	2740	modern	German	borrowed		
túró	2739	ancient	Turkic languages	borrowed		
lándzsa	2730	modern	Italian	borrowed		
republikánus	2728	modern	English|French	borrowed		
kúp	2727	ancient	Serbo-Croatian|Slovene	borrowed		
realisztikus	2721	modern	German	borrowed		
kréta	2706	modern	Latin	borrowed		
plüss	2701	modern	German	borrowed		
léc	2697	modern	German	borrowed		
liberalizáció	2687	modern	German	borrowed		
bástya	2686	modern	Italian	borrowed		
anarchista	2668	modern	German	borrowed		
zarándok	2664	ancient	Slavic languages	borrowed		
szesz	2662	ancient	Turkic languages	borrowed		
elegancia	2661	modern	Latin	borrowed		
kád	2660	ancient	Slavic languages	borrowed		
dizájn	2649	modern	English	borrowed		
genetikus	2642	modern	English	borrowed		
csóka	2638	ancient	Slavic languages	borrowed		
létra	2634	modern	German	borrowed		
papagáj	2634	modern	German	borrowed		
szenzáció	2630	modern	German	borrowed		
poszter	2620	modern	English	borrowed		
rulett	2620	modern	German	borrowed		
aszteroida	2612	modern	English	borrowed		
telekommunikáció	2609	modern	English	borrowed		
inas	2605	ancient	Slavic languages	borrowed		
deli	2600	unclassified	Turkish	borrowed		
evidens	2600	modern	Latin	borrowed		
bébi	2589	modern	English	borrowed		
liliom	2575	modern	Latin	borrowed		
diktatórikus	2574	modern	German	borrowed		
borsó	2567	ancient	Turkic languages	borrowed		
embrió	2567	modern	Medieval Latin	borrowed		
spray	2557	modern	English	borrowed		
moha	2556	ancient	Slavic languages	borrowed		
monográfia	2548	modern	German	borrowed		
pék	2542	unclassified	Bavarian	borrowed		
monostor	2541	modern	Latin	borrowed		
sznob	2530	modern	English	borrowed		
gipsz	2525	modern	Latin	borrowed		
pedál	2522	modern	German	borrowed		
céh	2521	modern	Bavarian|German	borrowed		
zokni	2510	unclassified	Austrian German	borrowed		
tálca	2508	modern	Italian	borrowed		
trágya	2502	modern	Medieval Latin	borrowed		
kráter	2501	modern	Latin	borrowed		
anglikán	2496	modern	Medieval Latin	borrowed		
pragmatikus	2491	modern	Latin	borrowed		
fosszilis	2488	modern	Latin	borrowed		
eke	2486	ancient	Turkic languages	borrowed		
rum	2466	modern	German	borrowed		
hóhér	2462	unclassified	Bavarian	borrowed		
cifra	2461	modern	Medieval Latin	borrowed		
emigráció	2458	modern	Latin	borrowed		
manipuláció	2458	modern	Latin	borrowed		
konténer	2450	modern	English	borrowed		
etikett	2438	modern	German	borrowed		
injekció	2438	modern	Latin	borrowed		
trendi	2431	modern	English	borrowed		
tarifa	2427	modern	Italian	borrowed		
borostyán	2426	modern	German|Slavic languages	borrowed		
fiskális	2422	modern	New Latin	borrowed		
párkány	2417	modern	German	borrowed		
eposz	2414	modern	Latin	borrowed		
cink	2413	modern	German	borrowed		
plasztikus	2408	modern	German	borrowed		
róna	2403	ancient	Slovak	borrowed		
dogmatikus	2396	modern	German	borrowed		
fátyol	2390	modern	Italian	borrowed		
kender	2386	ancient	Turkic languages	borrowed		
konvergencia	2382	modern	Latin	borrowed		
kamilla	2377	modern	German	borrowed		
huncut	2375	modern	German	borrowed		
kajak	2373	unclassified	Inuktitut	borrowed		
koktél	2372	modern	English	borrowed		
analógia	2371	modern	Latin	borrowed		
konverter	2371	modern	English	borrowed		
statisztikus	2344	modern	New Latin	borrowed		
margarin	2341	modern	German	borrowed		
pneumatikus	2336	modern	English	borrowed		
szuverenitás	2336	modern	French	borrowed		
migráció	2334	modern	Latin	borrowed		
szendvics	2327	modern	English	borrowed		
bakteriális	2322	modern	New Latin	borrowed		
eretnek	2321	modern	French|Italian	borrowed		
dajka	2309	ancient	Slavic languages	borrowed		
kvartett	2308	modern	German	borrowed		
schilling	2307	modern	German	borrowed		
inkvizíció	2303	modern	Latin	borrowed		
olló	2291	ancient	Danube Bulgar	borrowed		
pumpa	2289	modern	German	borrowed		
reláció	2280	modern	Late Latin	borrowed		
koreográfus	2277	modern	German	borrowed		
iker	2275	ancient	Turkic languages	borrowed		
bazár	2273	modern	German	borrowed		
mánia	2273	modern	Latin	borrowed		
konvenció	2272	modern	Latin	borrowed		
kályha	2253	modern	German	borrowed		
tárcsa	2250	unclassified	Middle High German	borrowed		
konszolidáció	2247	modern	French	borrowed		
hobbit	2237	modern	English	borrowed|orthographic		
pestis	2230	modern	Latin	borrowed		
koporsó	2211	ancient	Turkic languages	borrowed		
üröm	2211	unclassified	Volga Bulgar	borrowed		
ürge	2201	ancient	Turkic languages	borrowed		
orientáció	2200	modern	French	borrowed		
stádium	2200	modern	Latin	borrowed		
metaforikus	2197	modern	German	borrowed		
spekuláció	2193	modern	German	borrowed		
árkád	2188	modern	French	borrowed		
importőr	2184	modern	French	borrowed		
vakáció	2180	modern	Latin	borrowed		
gránit	2178	modern	German	borrowed		
repertoár	2175	modern	French	borrowed		
rítus	2171	modern	Latin	borrowed		
patkó	2167	ancient	Slavic languages	borrowed		
kanca	2161	ancient	Slavic languages	borrowed		
mikroszkóp	2154	modern	English	borrowed		
hamburger	2151	modern	English	borrowed|orthographic		
rongy	2151	ancient	Turkic languages	borrowed		
klasszis	2137	modern	Latin	borrowed		
lámpás	2136	modern	Latin	borrowed		
bilincs	2134	ancient	Turkic languages	borrowed		
pimasz	2130	unclassified	Romani	borrowed		
unoka	2127	ancient	Slavic languages	borrowed		
bukta	2118	ancient	Slovak	borrowed		
kompresszor	2114	modern	English	borrowed		
interpretáció	2108	modern	Latin	borrowed		
nonstop	2104	modern	English	borrowed|orthographic		
detonáció	2103	modern	German	borrowed		
haiku	2101	modern	Japanese	borrowed		
csóró	2098	unclassified	Romani	borrowed		
petrezselyem	2090	modern	Medieval Latin	borrowed		
mandarin	2087	modern	German	borrowed		
dramaturg	2082	modern	German	borrowed		
kompenzáció	2072	modern	Latin	borrowed		
amfetamin	2063	modern	English	borrowed		
kotta	2051	modern	Latin	borrowed		
csipke	2049	ancient	Bulgarian|Slovak	borrowed		
mutáció	2046	modern	Latin	borrowed		
kardinális	2042	modern	Latin	borrowed		
engedélyez	2036	modern	English	semantic		
tűr	2033	ancient	Turkic languages	borrowed		
dzsessz	2031	modern	English	borrowed		
rost	2031	modern	German	borrowed		
szecesszió	2022	modern	German	borrowed		
görcs	2021	ancient	Slavic languages|South Slavic languages	borrowed		
etnikum	2015	modern	New Latin	borrowed		
provokáció	2013	modern	Latin	borrowed		
borjú	2008	unclassified	Oghur languages	borrowed		
frenetikus	2008	modern	German	borrowed		
konklúzió	2006	modern	Latin	borrowed		
gesztenye	2004	modern	German	borrowed		
frizura	2002	modern	German	borrowed		
kőr	2002	modern	French	borrowed		
konkoly	1997	ancient	Slavic languages	borrowed		
whisky	1996	modern	English	borrowed		
financiális	1991	modern	German	borrowed		
raj	1990	ancient	Slavic languages	borrowed		
rozsda	1987	ancient	Bulgarian	borrowed		
fotel	1975	modern	German	borrowed		
kolónia	1971	modern	Latin	borrowed		
gém	1970	modern	English	borrowed		
misszionárius	1970	unclassified	Austrian German	borrowed		
csalán	1960	ancient	Turkic languages	borrowed		
ágens	1954	modern	German	borrowed		
tulipán	1947	modern	German|Italian	borrowed		
dosszié	1946	modern	French	borrowed		
nátrium	1945	modern	New Latin	borrowed		
kukac	1937	ancient	Serbo-Croatian	borrowed		
tangó	1931	modern	German	borrowed		
ribizli	1925	unclassified	Austrian German	borrowed		
marginális	1924	modern	Latin	borrowed|learned		
melankolikus	1915	modern	Latin	borrowed		
kakaó	1914	modern	Spanish	borrowed		
vízió	1906	modern	Latin	borrowed		
termál	1902	modern	German	borrowed		
csermely	1898	ancient	Slavic languages	borrowed		
tranzisztor	1884	modern	English	borrowed		
akrobatikus	1881	modern	German	borrowed		
krokodil	1876	modern	Latin	borrowed		
kromoszóma	1865	modern	English	borrowed		
fotográfus	1863	modern	German	borrowed		
egzisztencia	1862	modern	Medieval Latin	borrowed		
sematikus	1861	modern	German	borrowed		
zseb	1860	unclassified	Ottoman Turkish	borrowed		
szúnyog	1855	ancient	Turkic languages	borrowed		
arborétum	1851	modern	Latin	borrowed|learned		
kupac	1849	ancient	Serbo-Croatian	borrowed		
rája	1848	modern	Latin	borrowed		
cin	1842	modern	German	borrowed		
boka	1840	ancient	Turkic languages	borrowed		
gondola	1835	modern	Italian	borrowed		
kuriózum	1828	modern	Latin	borrowed		
duda	1814	ancient	Slavic languages	borrowed		
párna	1814	ancient	Slavic languages	borrowed		
rusztikus	1814	modern	Latin	borrowed		
pálca	1809	ancient	Slavic languages	borrowed		
urán	1804	modern	German	borrowed		
basa	1801	unclassified	Ottoman Turkish	borrowed		
ideál	1800	modern	German	borrowed		
bolha	1799	ancient	Slavic languages	borrowed		
parfüm	1799	modern	German	borrowed		
allegorikus	1795	modern	Latin	borrowed		
szapora	1795	ancient	Slavic languages	borrowed		
múzsa	1792	modern	Latin	borrowed		
dinnye	1791	ancient	Slavic languages	borrowed		
pléh	1790	modern	German	borrowed		
kóser	1788	unclassified	Yiddish	borrowed		
kánikula	1775	modern	Latin	borrowed		
refrén	1772	modern	French	borrowed		
palacsinta	1769	unclassified	Romanian	borrowed		
csákány	1768	ancient	Slavic languages|Turkic languages	borrowed		
levendula	1763	modern	Medieval Latin	borrowed		
disszertáció	1762	modern	New Latin	borrowed		
presztízs	1760	modern	French	borrowed		
fatális	1756	modern	Latin	borrowed		
akusztika	1751	modern	German	borrowed		
burok	1751	ancient	Turkic languages	borrowed		
konföderáció	1738	modern	German	borrowed		
dekoráció	1726	modern	Latin	borrowed		
rezisztencia	1722	modern	New Latin	borrowed		
katartikus	1720	modern	German	borrowed		
füge	1717	unclassified	Venetan	borrowed		
goromba	1716	ancient	Slavic languages	borrowed		
vagon	1715	modern	German	borrowed		
fundamentális	1711	modern	German	borrowed		
nonszensz	1711	modern	English	borrowed		
centrifuga	1710	modern	English|French	borrowed		
lavina	1703	modern	German	borrowed		
manus	1703	unclassified	Romani	borrowed		
örvény	1700	ancient	Turkic languages	borrowed		
lobbi	1695	modern	English	borrowed		
operáció	1692	modern	Latin	borrowed		
rozs	1691	ancient	Slavic languages	borrowed		
interakció	1690	modern	English	borrowed		
intuíció	1687	modern	New Latin	borrowed		
pálma	1687	modern	Latin	borrowed		
bivaly	1685	ancient	South Slavic languages	borrowed		
palánk	1675	unclassified	Middle High German	borrowed		
ketrec	1674	ancient	Slovak	borrowed		
gatya	1672	ancient	Serbo-Croatian	borrowed		
ráció	1669	modern	Latin	borrowed		
kalász	1662	ancient	Slovak|South Slavic languages	borrowed		
makró	1660	modern	English	borrowed		
agresszivitás	1659	modern	French	borrowed		
pocok	1659	ancient	East Slavic languages	borrowed		
arisztokratikus	1657	modern	German	borrowed		
szamóca	1648	ancient	Slovene	borrowed		
sampon	1644	unclassified	Austrian German	borrowed		
agility	1637	modern	English	borrowed|orthographic		
cseléd	1635	ancient	Slavic languages	borrowed		
barack	1625	ancient	Slavic languages|West Slavic languages	borrowed		
dettó	1624	unclassified	Austrian German	borrowed		
gerenda	1622	ancient	Slavic languages	borrowed		
promóció	1611	modern	English	borrowed		
szekvencia	1611	modern	Latin	borrowed		
bután	1604	modern	German	borrowed		
tisztel	1597	ancient	Slavic languages	borrowed		
cimbora	1594	unclassified	Romanian	borrowed		
provinciális	1588	modern	Latin	borrowed		
puma	1583	modern	German	borrowed		
légió	1581	modern	Latin	borrowed		
analfabéta	1578	modern	German	borrowed		
poligon	1575	modern	German	borrowed		
poliészter	1568	modern	German	borrowed		
vegetáció	1567	modern	English|German	borrowed		
matróz	1566	modern	German	borrowed		
perspektivikus	1566	modern	German	borrowed		
ösztrogén	1561	modern	German	borrowed		
paplan	1558	ancient	Byzantine Greek	borrowed		
objektivitás	1557	modern	German	borrowed		
pulzus	1552	modern	Latin	borrowed		
tus	1547	modern	French|German	borrowed		
montázs	1541	modern	German	borrowed		
atléta	1538	modern	Latin	borrowed		
puding	1531	modern	English	borrowed		
gardrób	1525	modern	German	borrowed		
gerezd	1518	ancient	South Slavic languages	borrowed		
sorompó	1515	unclassified	Bavarian	borrowed		
blöff	1513	modern	English	borrowed		
intervenció	1513	modern	Latin	borrowed		
interpelláció	1503	modern	Latin	borrowed		
mikroszkopikus	1500	modern	English	borrowed		
lóvé	1499	unclassified	Romani	borrowed		
desszert	1498	modern	German	borrowed		
roller	1491	modern	German	borrowed		
poéta	1487	modern	Latin	borrowed		
diszkréció	1482	modern	German	borrowed		
decentralizáció	1481	modern	German	borrowed		
patrióta	1480	modern	Latin	borrowed|learned		
repce	1480	ancient	Slovak	borrowed		
gyanta	1478	modern	Medieval Latin	borrowed		
tahó	1472	unclassified	Hebrew	borrowed		
giccs	1471	modern	German	borrowed		
viasz	1471	ancient	Serbo-Croatian|Slovene	borrowed		
fáklya	1470	modern	Latin	borrowed		
grafológia	1470	modern	English	borrowed		
erózió	1468	modern	Latin	borrowed		
kenguru	1466	modern	English	borrowed		
préda	1466	modern	Latin	borrowed		
piton	1465	modern	Latin	borrowed		
reprodukció	1465	modern	German	borrowed		
csat	1458	ancient	Turkic languages	borrowed		
vekker	1456	modern	German	borrowed		
recenzió	1451	modern	Latin	borrowed		
aga	1444	unclassified	Ottoman Turkish	borrowed		
iga	1437	ancient	Slavic languages	borrowed		
randevú	1433	modern	German	borrowed		
bestia	1432	modern	Latin	borrowed		
grafit	1432	modern	German	borrowed		
anekdota	1425	modern	French|German	borrowed		
bálvány	1422	ancient	Slavic languages	borrowed		
szála	1420	modern	Italian	borrowed		
virsli	1420	unclassified	Austrian German	borrowed		
paranormális	1416	modern	Latin	borrowed		
hörcsög	1412	ancient	South Slavic languages|West Slavic languages	borrowed		
gleccser	1410	modern	German	borrowed		
picsa	1409	ancient	South Slavic languages|West Slavic languages	borrowed		
ól	1405	ancient	Turkic languages	borrowed		
szankció	1402	modern	Latin	borrowed		
fals	1401	unclassified	Middle High German	borrowed		
piskóta	1397	modern	German	borrowed		
verda	1397	unclassified	Romani	borrowed		
filc	1394	modern	German	borrowed		
pozitivista	1394	modern	German	borrowed		
higiénikus	1390	modern	German	borrowed		
immanens	1386	modern	Late Latin	borrowed|learned		
korreláció	1385	modern	Latin	borrowed		
bagázs	1381	modern	German	borrowed		
lej	1381	unclassified	Romanian	borrowed		
blogger	1380	modern	English	borrowed|orthographic		
pogácsa	1371	ancient	South Slavic languages	borrowed		
léha	1370	ancient	Slovak	borrowed		
kunyhó	1363	ancient	Serbo-Croatian	borrowed		
gengszter	1360	modern	English	borrowed		
pelenka	1360	unclassified	Ukrainian	borrowed		
jaguár	1358	modern	German	borrowed		
bicska	1357	ancient	Serbo-Croatian	borrowed		
indukció	1357	modern	German	borrowed		
agglomeráció	1356	modern	English	borrowed		
furulya	1347	unclassified	Romanian	borrowed		
szalámi	1347	modern	Italian	borrowed		
csemete	1339	modern	Italian	borrowed		
karakterisztikus	1339	modern	German	borrowed		
brutalitás	1337	modern	New Latin	borrowed		
inspiráció	1337	modern	Latin	borrowed		
koncentrikus	1335	modern	German	borrowed		
differencia	1322	modern	Latin	borrowed		
szoszo	1322	modern	German	borrowed		
borát	1319	modern	German	borrowed		
diszpécser	1319	modern	Russian	borrowed		
elliptikus	1319	modern	German	borrowed		
partikuláris	1311	modern	Latin	borrowed		
improvizáció	1307	modern	French	borrowed		
tónus	1307	modern	Latin	borrowed		
ópium	1304	modern	Latin	borrowed		
szegregáció	1302	modern	English	borrowed		
kolera	1301	modern	Latin	borrowed		
fluktuáció	1291	modern	Latin	borrowed		
gránát	1291	modern	German	borrowed		
tombola	1289	modern	Italian	borrowed		
lucerna	1274	modern	German	borrowed		
kifli	1273	modern	German	borrowed		
interferencia	1270	modern	New Latin	borrowed		
áfonya	1268	unclassified	Romanian	borrowed		
tatu	1267	modern	French	borrowed		
sztenderd	1264	modern	English	borrowed		
pór	1258	unclassified	Bavarian	borrowed		
perec	1257	modern	German	borrowed		
pakli	1253	modern	German	borrowed		
hodzsa	1252	unclassified	Ottoman Turkish	borrowed		
jód	1247	modern	German	borrowed		
dominancia	1246	modern	Late Latin	borrowed		
hecsedli	1245	unclassified	Bavarian	borrowed		
agár	1243	ancient	West Slavic languages	borrowed		
geográfus	1240	modern	German	borrowed		
fóka	1239	modern	Latin	borrowed		
sakál	1234	modern	German	borrowed		
zenit	1234	modern	German	borrowed		
hipnózis	1228	modern	Latin	borrowed		
boróka	1227	ancient	Slovak	borrowed		
copf	1223	modern	German	borrowed		
utópisztikus	1221	modern	English	borrowed		
szlalom	1219	modern	German	borrowed		
póz	1211	modern	German	borrowed		
szösz	1209	unclassified	Oghur languages	borrowed		
brácsa	1206	modern	German	borrowed		
angina	1196	modern	Latin	borrowed		
garabonciás	1195	modern	Italian	borrowed		
komornyik	1195	ancient	Czech|Slovak	borrowed		
hóra	1193	unclassified	Romanian	borrowed		
deklaráció	1192	modern	Latin	borrowed		
pulóver	1192	modern	English	borrowed		
spániel	1186	modern	English	borrowed		
fácán	1182	modern	Italian	borrowed		
asszociáció	1181	modern	English	borrowed		
urbánus	1181	modern	Latin	borrowed		
urbanizáció	1175	modern	German	borrowed		
ejakuláció	1172	modern	Latin	borrowed		
kanóc	1172	modern	Czech|German|Slovak	borrowed		
bodza	1166	ancient	Slavic languages	borrowed		
excentrikus	1166	modern	German	borrowed		
limonádé	1166	modern	German	borrowed		
cérna	1164	modern	German	borrowed		
klór	1160	modern	German	borrowed		
ereklye	1159	modern	Italian	borrowed		
metán	1152	modern	German	borrowed		
balzsam	1145	modern	German	borrowed		
nikkel	1144	modern	German	borrowed		
kategorikus	1140	modern	German	borrowed		
skanzen	1139	modern	Swedish	borrowed		
inkorrekt	1136	modern	German	borrowed		
kurátor	1136	modern	Latin	borrowed		
axióma	1133	modern	Latin	borrowed		
juhar	1133	ancient	Slavic languages	borrowed		
grammatika	1129	modern	Latin	borrowed		
dióda	1128	modern	German	borrowed		
rosta	1128	ancient	Slavic languages	borrowed		
kőris	1125	ancient	Turkic languages	borrowed		
kvarc	1123	modern	German	borrowed		
zsolozsma	1123	ancient	Slavic languages	borrowed		
precizitás	1120	modern	French	borrowed		
rece	1120	modern	Italian	borrowed		
bölcső	1119	ancient	Turkic languages	borrowed		
tarsoly	1119	modern	Bavarian|German	borrowed		
jiddis	1116	unclassified	Yiddish	borrowed		
berek	1111	ancient	Slavic languages	borrowed		
peron	1109	modern	German	borrowed		
intellektus	1106	modern	Latin	borrowed		
galagonya	1105	ancient	Slavic languages	borrowed		
bombasztikus	1101	modern	German	borrowed		
palást	1099	ancient	Bulgarian|Serbo-Croatian	borrowed		
príma	1095	modern	German	borrowed		
krajcár	1091	modern	German	borrowed		
gólem	1084	unclassified	Hebrew	borrowed		
zselé	1082	modern	French|German	borrowed		
orsó	1081	ancient	Turkic languages	borrowed		
pláza	1080	modern	Spanish	borrowed		
polihisztor	1078	modern	English	borrowed		
sztráda	1073	modern	Italian	borrowed		
immunitás	1070	modern	Latin	borrowed		
ketchup	1067	modern	English	borrowed		
tragikomikus	1067	modern	German	borrowed		
komplexitás	1066	modern	Latin	borrowed		
cimbalom	1063	modern	Latin	borrowed		
strófa	1049	modern	Latin	borrowed		
izgága	1044	ancient	Slavic languages	borrowed		
lösz	1044	modern	German	borrowed		
moll	1044	modern	German	borrowed		
halogén	1043	modern	English|German	borrowed		
menta	1043	modern	Latin	borrowed		
hermetikus	1035	modern	Medieval Latin	borrowed		
irreleváns	1034	modern	Latin	borrowed		
polyák	1030	unclassified	Polish	borrowed		
dúr	1026	modern	German	borrowed		
karfiol	1026	unclassified	Austrian German	borrowed		
konvoj	1026	modern	English	borrowed		
cédula	1025	modern	Medieval Latin	borrowed		
karburátor	1023	modern	English	borrowed		
anakronisztikus	1022	modern	German	borrowed		
gúla	1022	modern	Italian	borrowed		
cionizmus	1017	modern	English	borrowed		
hárfa	1016	modern	German	borrowed		
